round,policy,outcome,mean_anc,n_episodes
0,rl,all,0.507153,162
1,rl,all,0.475395,132
2,rl,all,0.593751,89
3,rl,all,0.640751,57
4,rl,all,0.732211,39
5,rl,all,0.724084,30
6,rl,all,0.728580,24
7,rl,all,0.787390,19
8,rl,all,0.834514,16
9,rl,all,0.845663,11
10,rl,all,0.895610,9
11,rl,all,0.926617,6
12,rl,all,0.941948,3
13,rl,all,1.000000,2
0,rl,recovered,0.692410,62
1,rl,recovered,0.699290,62
2,rl,recovered,0.744909,60
3,rl,recovered,0.728976,46
4,rl,recovered,0.739784,38
5,rl,recovered,0.735702,29
6,rl,recovered,0.750725,23
7,rl,recovered,0.787390,19
8,rl,recovered,0.834514,16
9,rl,recovered,0.845663,11
10,rl,recovered,0.895610,9
11,rl,recovered,0.926617,6
12,rl,recovered,0.941948,3
13,rl,recovered,1.000000,2
0,rl,failed,0.392293,100
1,rl,failed,0.277088,70
2,rl,failed,0.281011,29
3,rl,failed,0.271808,11
4,rl,failed,0.444444,1
5,rl,failed,0.387160,1
6,rl,failed,0.219259,1
0,degree,all,0.568027,162
1,degree,all,0.566313,148
2,degree,all,0.649962,116
3,degree,all,0.679504,84
4,degree,all,0.731825,74
5,degree,all,0.738735,59
6,degree,all,0.752353,47
7,degree,all,0.810990,43
8,degree,all,0.829467,32
9,degree,all,0.884244,27
10,degree,all,0.934893,21
11,degree,all,0.956700,12
12,degree,all,0.940233,4
13,degree,all,0.986533,3
14,degree,all,1.000000,1
0,degree,recovered,0.656494,108
1,degree,recovered,0.672830,108
2,degree,recovered,0.701883,102
3,degree,recovered,0.689836,82
4,degree,recovered,0.731825,74
5,degree,recovered,0.738735,59
6,degree,recovered,0.752353,47
7,degree,recovered,0.810990,43
8,degree,recovered,0.829467,32
9,degree,recovered,0.884244,27
10,degree,recovered,0.934893,21
11,degree,recovered,0.956700,12
12,degree,recovered,0.940233,4
13,degree,recovered,0.986533,3
14,degree,recovered,1.000000,1
0,degree,failed,0.391093,54
1,degree,failed,0.278717,40
2,degree,failed,0.271680,14
3,degree,failed,0.255864,2
0,random,all,0.330210,162
1,random,all,0.226326,83
2,random,all,0.384353,22
3,random,all,0.561020,4
4,random,all,0.766159,3
5,random,all,0.680000,2
6,random,all,0.222222,1
0,random,recovered,0.785679,6
1,random,recovered,0.848429,6
2,random,recovered,0.914030,6
3,random,recovered,0.851875,2
4,random,recovered,0.969238,2
5,random,recovered,1.000000,1
0,random,failed,0.312692,156
1,random,failed,0.177851,77
2,random,failed,0.185724,16
3,random,failed,0.270165,2
4,random,failed,0.360000,1
5,random,failed,0.360000,1
6,random,failed,0.222222,1
0,risk,all,0.391486,162
1,risk,all,0.337745,99
2,risk,all,0.556931,36
3,risk,all,0.651663,24
4,risk,all,0.698000,18
5,risk,all,0.743236,16
6,risk,all,0.746808,12
7,risk,all,0.815992,11
8,risk,all,0.865715,9
9,risk,all,0.896323,7
10,risk,all,0.833049,3
11,risk,all,0.911565,3
12,risk,all,0.806331,1
13,risk,all,0.881299,1
14,risk,all,0.959600,1
15,risk,all,1.000000,1
0,risk,recovered,0.721322,31
1,risk,recovered,0.709515,31
2,risk,recovered,0.690809,26
3,risk,recovered,0.688032,22
4,risk,recovered,0.698000,18
5,risk,recovered,0.743236,16
6,risk,recovered,0.746808,12
7,risk,recovered,0.815992,11
8,risk,recovered,0.865715,9
9,risk,recovered,0.896323,7
10,risk,recovered,0.833049,3
11,risk,recovered,0.911565,3
12,risk,recovered,0.806331,1
13,risk,recovered,0.881299,1
14,risk,recovered,0.959600,1
15,risk,recovered,1.000000,1
0,risk,failed,0.313434,131
1,risk,failed,0.168262,68
2,risk,failed,0.208851,10
3,risk,failed,0.251600,2
0,greedy,all,0.593789,162
1,greedy,all,0.619517,152
2,greedy,all,0.688697,125
3,greedy,all,0.728758,94
4,greedy,all,0.768028,81
5,greedy,all,0.776139,62
6,greedy,all,0.774951,45
7,greedy,all,0.821439,38
8,greedy,all,0.890594,35
9,greedy,all,0.921234,25
10,greedy,all,0.920428,13
11,greedy,all,0.930445,7
12,greedy,all,0.972448,6
13,greedy,all,1.000000,2
0,greedy,recovered,0.652804,127
1,greedy,recovered,0.683676,127
2,greedy,recovered,0.719588,117
3,greedy,recovered,0.728758,94
4,greedy,recovered,0.768028,81
5,greedy,recovered,0.776139,62
6,greedy,recovered,0.774951,45
7,greedy,recovered,0.821439,38
8,greedy,recovered,0.890594,35
9,greedy,recovered,0.921234,25
10,greedy,recovered,0.920428,13
11,greedy,recovered,0.930445,7
12,greedy,recovered,0.972448,6
13,greedy,recovered,1.000000,2
0,greedy,failed,0.379648,35
1,greedy,failed,0.293586,25
2,greedy,failed,0.236921,8
0,betweenness,all,0.563001,162
1,betweenness,all,0.550759,148
2,betweenness,all,0.615609,114
3,betweenness,all,0.679092,82
4,betweenness,all,0.720420,71
5,betweenness,all,0.723234,56
6,betweenness,all,0.742424,46
7,betweenness,all,0.791710,41
8,betweenness,all,0.826059,33
9,betweenness,all,0.844378,24
10,betweenness,all,0.896511,20
11,betweenness,all,0.937220,15
12,betweenness,all,0.939628,7
13,betweenness,all,0.922144,3
14,betweenness,all,0.960800,2
15,betweenness,all,1.000000,1
0,betweenness,recovered,0.660531,103
1,betweenness,recovered,0.669538,103
2,betweenness,recovered,0.686749,95
3,betweenness,recovered,0.689408,80
4,betweenness,recovered,0.720420,71
5,betweenness,recovered,0.723234,56
6,betweenness,recovered,0.742424,46
7,betweenness,recovered,0.791710,41
8,betweenness,recovered,0.826059,33
9,betweenness,recovered,0.844378,24
10,betweenness,recovered,0.896511,20
11,betweenness,recovered,0.937220,15
12,betweenness,recovered,0.939628,7
13,betweenness,recovered,0.922144,3
14,betweenness,recovered,0.960800,2
15,betweenness,recovered,1.000000,1
0,betweenness,failed,0.392735,59
1,betweenness,failed,0.278887,45
2,betweenness,failed,0.259911,19
3,betweenness,failed,0.266467,2
